,item,gunung,tinggi,tipe,regional,vsi,lattitude,longitude,koordinat
129,http://www.wikidata.org/entity/Q4176628,Pulau Mare,308,,,268060,,,Point(127.4 0.57)
124,http://www.wikidata.org/entity/Q3238267,Pulau Moti,950,,,263220,,,Point(127.4 0.45)
9,http://www.wikidata.org/entity/Q12506955,Pulau Tidore,408,,,264140,,,Point(127.41141 0.68874)
20,http://www.wikidata.org/entity/Q2038462,Sindara,3136,,,264200,,,Point(122.842 -8.358)
95,http://www.wikidata.org/entity/Q2105492,Sukaria,1500,,,264050,,,Point(121.77 -8.792)
131,http://www.wikidata.org/entity/Q4178018,Suoh,1000,,,264180,,,Point(104.27 -5.25)
8,http://www.wikidata.org/entity/Q2020545,Tampomas,1684,,,263080,,,Point(107.95 -6.77)
44,http://www.wikidata.org/entity/Q6924047,Tarakan,318,,,266130,,,Point(127.83 1.83)
37,http://www.wikidata.org/entity/Q123157,Telomoyo,1894,,,263260,,,Point(110.4 -7.37)
130,http://www.wikidata.org/entity/Q4178015,Tigalalu,422,,,268063,,,Point(127.42 0.07)
45,http://www.wikidata.org/entity/Q7811550,Tobaru,1035,,,261231,,,Point(127.67 1.63)
36,http://www.wikidata.org/entity/Q2933735,Tondano,1202,,,264080,,,Point(124.83 1.23)
107,http://www.wikidata.org/entity/Q2433163,Wai Sano,903,,,261172,-8.710685171,119.9887172,Point(120.0166667 -8.71666667)
76,http://www.wikidata.org/entity/Q1048813,Weh,617,,,268071,,,Point(99.255 1.556)
